jid,formula,band_gap,formation_energy_per_atom,energy_above_hull,structure_dict,symmetry,density
JVASP-22556,SrFeO3,0.0,-2.07159,0.1769,"{'lattice_mat': [[3.790914410660539, -0.0, 0.0], [0.0, 3.790914410660539, 0.0], [-0.0, -0.0, 3.790914410660539]], 'coords': [[1.8954512090900095, 1.8954512090900095, 1.8954512090900095], [0.0, 0.0, 0.0], [1.8954512090900095, 0.0, 0.0], [0.0, 1.8954512090900095, 0.0], [0.0, 0.0, 1.8954512090900095]], 'elements': ['Sr', 'Fe', 'O', 'O', 'O'], 'abc': [3.79091, 3.79091, 3.79091], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '']}",,5.836
JVASP-49836,CeTiO3,0.0,-3.35291,0.0147,"{'lattice_mat': [[3.9279570605034704, -0.0, 0.0], [-0.0, 3.9279570605034704, 0.0], [-0.0, -0.0, 3.9279570605034704]], 'coords': [[0.0, 0.0, 0.0], [1.96398, 1.96398, 1.96398], [0.0, 1.96398, 1.96398], [1.96398, 0.0, 1.96398], [1.96398, 1.96398, 0.0]], 'elements': ['Ce', 'Ti', 'O', 'O', 'O'], 'abc': [3.92796, 3.92796, 3.92796], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '']}",,6.466
JVASP-97985,SnHgO3,0.0,-1.13228,0.0432,"{'lattice_mat': [[4.9156345281107905, -0.0117867906383591, 2.9550277532764464], [1.6657480937062987, 4.624811883799871, 2.9550277533149165], [-0.0168161541572407, -0.0117867906520258, 5.735448455677302]], 'coords': [[3.28228, 2.3006149999999996, 5.822755], [0.0, 0.0, 0.0], [4.92342, 3.4509225, 8.7341325], [1.64114, 1.1503074999999998, 2.9113775], [1.9642861889341954, 3.462712500000003, 4.676226417396745], [4.272834999925995, 1.6235676065672657, 4.1015585826032535], [1.96857881113981, 0.6652573934327312, 5.7791025000000005], [4.600273811065805, 1.1385174999999972, 6.969283582603254], [4.595981188860192, 3.9359726065672684, 5.8664075], [2.2917250000740053, 2.977662393432735, 7.543951417396746]], 'elements': ['Sn', 'Sn', 'Hg', 'Hg', 'O', 'O', 'O', 'O', 'O', 'O'], 'abc': [5.735483, 5.735485, 5.735487], 'angles': [59.1557, 59.1557, 59.1557], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '']}",,9.323
JVASP-49773,LiTaO3,2.446,-2.82215,0.1045,"{'lattice_mat': [[5.41110393365202, 1.70722575218e-05, 0.0], [1.70727518986e-05, 5.411117936788298, 0.0], [0.0, 0.0, 3.942800365431583]], 'coords': [[-0.00016292779361777563, 2.7053671981998515, 1.9714], [2.705157241334452, -0.00034870733578468073, 1.9714], [5.4110184353114175, 6.609514902819141e-06, 0.0], [2.705557499196525, 2.705486163039106, 0.0], [0.0004254944691062564, 0.00030281424407162087, 1.9714], [0.9548553825746996, 3.6604301002763115, 0.0], [1.7508724321000302, 0.9549215744968276, 0.0], [2.705852280902, 2.7059855911565927, 1.9714], [3.6604819078945403, 4.456450832247423, 0.0], [4.45638432139086, 1.7508353042006983, 0.0]], 'elements': ['Li', 'Li', 'Ta', 'Ta', 'O', 'O', 'O', 'O', 'O', 'O'], 'abc': [5.4111, 5.41112, 3.9428], 'angles': [90.0, 90.0, 89.9996], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '']}",,6.786
JVASP-50935,AlInO3,2.464,-2.48756,0.0205,"{'lattice_mat': [[3.2758766287144128, 2.3326295317e-05, -5.8350526131e-06], [1.6379578529026722, 2.837093701254486, 3.05210062627e-05], [-2.21443078246e-05, 0.0001399664799891, 12.02236493850955]], 'coords': [[1.6380274210574546, 0.9455743678311995, 3.005602007276151], [3.2759582994754943, 1.8913932060573355, 9.016792954106114], [-1.71513425549829e-06, -1.1969460603768927e-06, -1.4617503881924313e-05], [-2.8250523583922226e-05, 9.749344865918868e-05, 6.011231716164713], [8.76090530398294e-05, -0.00013026283608630248, 3.005575087020445], [4.8127092100299726e-05, 4.74096202216661e-06, 9.016751940853435], [1.6378952910739717, 0.945781344475819, 4.904256005614545], [1.6379260014568142, 0.9457072095244974, 1.106949471155115], [3.2759171085784478, 1.8914762791489275, 7.118178018401071], [3.27592114005053, 1.8914894047136868, 10.915393476012378]], 'elements': ['Al', 'Al', 'In', 'In', 'O', 'O', 'O', 'O', 'O', 'O'], 'abc': [3.27588, 3.275972, 12.02236], 'angles': [89.9989, 90.0003, 60.0002], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '']}",,5.641
JVASP-50006,RbTaO3,2.391,-2.83629,0.0,"{'lattice_mat': [[4.069168218048888, -0.0838446296137454, -0.0805636054000867], [0.0853006661448266, 4.069138774916545, -0.0805636066851085], [0.0853006648224388, 0.0818276126789741, 4.069112780830905]], 'coords': [[0.10285278460770514, 0.09866470253369697, 0.09480411760990737], [2.187864816317082, 2.098776733263643, 2.0166551071212973], [0.22970736122221155, 2.2002327994481687, 2.1141416247375626], [2.207874861341604, 0.13809471144667432, 2.114141624737561], [2.207874861341422, 2.1179703235778433, 0.053647098003697075]], 'elements': ['Rb', 'Ta', 'O', 'O', 'O'], 'abc': [4.070831, 4.070831, 4.070827], 'angles': [89.957, 89.957, 89.957], 'cartesian': True, 'props': ['', '', '', '', '']}",,7.739
JVASP-43622,AlFeO3,0.307,-2.22845,0.153,"{'lattice_mat': [[4.857428829340624, 0.0, 0.0], [-0.0, 5.116885743474756, 0.0], [0.0, 0.0, 7.351297713837497]], 'coords': [[0.0, 2.558445, 0.0], [0.0, 2.558445, 3.67565], [2.428715, 0.0, 0.0], [2.428715, 0.0, 3.67565], [0.12050030243476706, 4.83630534085008, 5.513475], [2.3082146975652322, 2.2778603408500806, 5.513475], [2.5492153024347664, 2.839029659149919, 1.837825], [4.736929697565233, 0.2805846591499188, 1.837825], [3.929191854858373, 4.11803958175015, 0.526642313358791], [3.356953145141627, 1.5595945817501504, 3.1490076866412093], [3.356953145141627, 1.5595945817501504, 0.526642313358791], [3.100103488139152, 0.29623350878620197, 5.513475], [1.7573265118608474, 4.820656491213796, 1.837825], [0.9282381451416264, 0.9988504182498493, 4.202292313358788], [1.500476854858374, 3.5572954182498493, 6.8246576866412125], [0.9282381451416264, 0.9988504182498493, 6.8246576866412125], [3.929191854858373, 4.11803958175015, 3.1490076866412093], [0.6713884881391525, 2.2622114912137983, 1.837825], [1.500476854858374, 3.5572954182498493, 4.202292313358788], [4.186041511860847, 2.854678508786203, 5.513475]], 'elements': ['Al', 'Al', 'Al', 'Al', 'Fe', 'Fe', 'Fe', 'Fe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'], 'abc': [4.85743, 5.11689, 7.3513], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']}",,4.756
JVASP-44064,Na2CoO3,0.0,-1.47624,0.0165,"{'lattice_mat': [[2.5882026026602074, 4.488308323461144, -0.0072154441256039], [-2.5882026026602074, 4.488308323461144, 0.0072154441256039], [-1.7667559428828299, 0.0, 5.289100924412867]], 'coords': [[-0.88338, 1.409348443383399, 2.64455], [-0.88338, 7.5672715566166, 2.64455], [-0.88338, 4.48831, 2.64455], [0.0, 0.0, 0.0], [3.7596845859842645e-17, 5.989580772288172, -2.602455056313707e-19], [2.770647244860907e-17, 2.987039227711827, -1.0765464915379051e-19], [-2.40086240026154, 4.48831, 4.242688998866958], [-1.6060916041805642, 2.7858316442683866, 1.048766575000347], [-1.6060916041805637, 6.190788355731615, 1.048766575000347], [-0.16066839581943654, 6.190788355731615, 4.240333424999653], [-0.16066839581943565, 2.7858316442683866, 4.240333424999653], [0.6341024002615404, 4.48831, 1.046411001133041]], 'elements': ['Na', 'Na', 'Na', 'Na', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O'], 'abc': [5.181096, 5.181096, 5.576381], 'angles': [80.8167, 99.1833, 59.9403], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '', '', '']}",,4.136
JVASP-52477,Na2TiO3,3.235,-2.63322,0.0,"{'lattice_mat': [[5.343771579767017, 3.1726511e-09, -0.0131291254249863], [-2.671886283842934, 4.629716339129749, 0.0065655448151941], [-1.8105242224226992, -1.38194583e-08, 10.783011430070788]], 'coords': [[-2.312263786424934, 3.8997743598055283, 5.391893230991097], [-1.335945, 2.31486, 0.003285], [-0.45263352258212947, 0.7876955716326337, 2.69575335726351], [1.4070007068453785, 3.899774359804814, -0.00037982076934624264], [0.4306800000000002, 2.31486, 5.388225], [-0.5456407068453761, 0.7299456401951867, 10.776829820769343], [1.3139935225821289, 3.842024428367366, 8.080696642736491], [3.1736237864249324, 0.7299456401944728, 5.384556769008901], [1.3139915089560958, 0.7584969698008092, 8.080693325721334], [2.219252498778881, 2.315988705014564, 2.689190001223884], [-1.3578924987788807, 2.3137312949854345, 8.087259998776116], [-0.4526315089560957, 3.871223030199191, 2.695756674278667], [2.878682587310592, 0.794003735594905, 1.5876457806484296], [-2.1198977647990693, 3.684329229591894, 1.5878908523329125], [-2.017322587310591, 3.835716264405095, 9.188804219351564], [-1.458444482772929, 2.5361740321786534, 3.7929901727248607], [-0.6984656976708014, 3.835716264398116, 6.985719065628937], [-0.3532698067985704, 0.9453907704029781, 6.972827894318711], [0.308180995258907, 2.0935459678261163, 9.177929694703911], [0.5531790047410933, 2.536174032173884, 1.5985203052960886], [1.2146298067985686, 3.684329229597023, 3.8036221056812876], [1.5598256976707994, 0.7940037356018825, 3.7907309343710582], [2.319804482772931, 2.0935459678213446, 6.98345982727514], [2.981257764799069, 0.9453907704081042, 9.18855914766709]], 'elements': ['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Ti', 'Ti', 'Ti', 'Ti', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'], 'abc': [5.343786, 5.345404, 10.933951], 'angles': [85.1826, 99.6721, 119.9901], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']}",,3.533
JVASP-91939,TiCo3,0.0,-0.26241,0.0284,"{'lattice_mat': [[0.0, 0.0, -4.069029563373083], [-2.5465092161289618, -4.410606354010495, 0.0], [-2.5467485417682623, 4.410744631597088, 0.0]], 'coords': [[-2.546823638364915, -1.4699834534607765, -3.0517724999999998], [-2.546436361635084, 1.4701134534607763, -1.0172575], [-1.2302715130313817, 0.710336586283187, -3.0517724999999998], [-2.546818495459112, 2.9903293944667495, -3.0517724999999998], [-3.8629908586244817, 0.710596936840141, -3.0517724999999998], [-3.86298848696862, -0.7102065862831873, -1.0172575], [-2.5464415045408875, -2.990199394466749, -1.0172575], [-1.2302691413755176, -0.710466936840141, -1.0172575]], 'elements': ['Ti', 'Ti', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co'], 'abc': [4.06903, 5.092955, 5.093188], 'angles': [119.9976, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '']}",,8.163
